index_column,taxumap1,taxumap2
PP129_2,17.1753,-2.7939956
PP129_3,16.97022,-2.9410567
PP129_4,16.977715,-3.049117
PP129_5,15.952296,-3.4310715
PP129_6,16.9654,-3.0794868
PP129_7,14.762051,-3.0316002
PP129_8,16.97997,-3.2191265
PP129_9,18.785477,-1.1661344
PP129_10,15.077172,-3.0628276
PP129_11,16.149797,-1.2655742
PP129_12,16.188692,-1.2233645
PP129_13,17.721617,-2.4792705
PP129_14,15.422249,-3.7571409
PP129_15,19.852348,-4.756431
PP129_16,15.36781,-1.853547
PP13_-9,18.835405,-3.4301147
PP13_-8,16.771093,-4.319154
PP13_-7,17.39467,-4.8108287
PP13_-6,15.902646,-4.592939
PP13_-5,17.75134,-4.547343
PP13_-4,17.976328,-4.2622123
PP13_-3,16.201363,-4.033155
PP13_-2,17.090233,-5.340181
PP13_-1,17.147657,-4.886184
PP13_0,18.02443,-2.6133945
PP13_1,19.632034,-3.049008
PP13_2,15.423978,-3.1678667
PP13_3,17.461432,-4.4487963
PP13_4,17.21475,-2.4528053
PP13_5,20.52487,-3.1451335
PP13_6,18.731062,-1.5737501
PP13_7,16.717632,-4.057438
PP13_8,18.989431,-3.6554706
PP13_9,17.939665,-3.7218604
PP13_10,20.72591,-3.0815744
PP13_11,16.43635,-1.8047549
PP13_12,16.549673,-4.210662
PP13_13,18.514177,-3.832653
PP13_14,18.880518,-3.7853162
PP13_15,17.553782,-3.5807319
PP130_-8,18.171852,-2.4598
PP130_-7,18.33083,-2.2923725
PP130_-6,18.824104,-1.3468505
PP130_-5,19.67352,-1.4262164
PP130_-4,17.33551,-4.8498807
PP130_-3,17.312654,-4.04501
PP130_-2,17.956663,-4.6035533
PP130_-1,17.375856,-4.301949
PP130_0,17.214758,-4.901566
PP130_1,17.032623,-5.2891226
PP130_2,14.792398,-4.1769366
PP130_3,20.044914,-1.094839
PP130_4,16.740513,-2.2382896
PP130_5,17.150959,-5.4174576
PP130_6,18.559668,-0.9956842
PP130_7,15.609364,-2.4623523
PP130_8,15.769302,-2.4230742
PP130_10,18.602995,-3.7433279
PP130_11,15.684328,-2.2234826
PP130_12,17.063326,-2.8642385
PP130_13,19.770903,-3.2863088
PP130_14,15.532611,-2.7728148
PP131_-2,17.784422,-4.802147
PP131_-1,15.333405,-0.6910013
PP131_0,15.009433,-1.5100216
PP131_1,15.388364,-1.9956387
PP131_2,19.703215,-1.6564269
PP131_3,17.912014,-3.3481374
PP131_4,17.627764,-4.8978453
PP131_5,19.080475,-5.839355
PP131_7,18.33683,-4.670732
PP131_8,16.3316,-3.9944139
PP131_9,15.594174,-3.608546
PP131_10,16.92765,-2.9678147
PP131_11,19.378447,-1.488743
PP131_12,15.411523,-1.7521712
PP131_13,19.390675,-1.4373535
PP131_14,15.325922,-1.8518997
PP131_15,19.58814,-1.5224144
PP131_18,20.094149,-1.0770328
PP131_22,16.944183,-2.935328
PP131_23,15.654263,-2.354569
PP131_25,16.404678,-1.803265
PP131_26,17.517483,-1.9504601
PP131_27,15.908245,-4.9713693
PP131_28,17.690098,-3.3558085
